epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
149,8522.92,0.54616,0.38551,0.94634,0.92346,0.81694,0.86788,0.61799,0.99142,0.47966,1.19364,0.005116,0.005116,0.005116
150,8571.23,0.54032,0.3797,0.9446,0.95654,0.78567,0.86324,0.62128,0.98295,0.46317,1.17734,0.005083,0.005083,0.005083
151,8619.42,0.5329,0.37624,0.94305,0.92977,0.81003,0.86226,0.62532,0.95903,0.45486,1.15146,0.00505,0.00505,0.00505
152,8667.97,0.53437,0.37771,0.94206,0.95254,0.80333,0.86691,0.62508,0.95587,0.45201,1.16493,0.005017,0.005017,0.005017
153,8716.55,0.53076,0.37033,0.94166,0.95111,0.79316,0.86368,0.62063,0.97365,0.45076,1.17707,0.004984,0.004984,0.004984
154,8764.88,0.53517,0.38098,0.94794,0.94984,0.79568,0.86341,0.61637,0.99911,0.46603,1.19772,0.004951,0.004951,0.004951
155,8813.07,0.52466,0.3732,0.93986,0.94672,0.80507,0.87214,0.6274,0.96949,0.47385,1.16015,0.004918,0.004918,0.004918
156,8862.54,0.52887,0.37189,0.94396,0.95319,0.80547,0.86507,0.61871,0.97677,0.46904,1.18887,0.004885,0.004885,0.004885
157,8910.82,0.52878,0.37072,0.94096,0.94901,0.80421,0.86686,0.62184,0.97695,0.45781,1.18549,0.004852,0.004852,0.004852
158,8959.03,0.524,0.37191,0.93953,0.94147,0.80919,0.86841,0.62817,0.96271,0.44566,1.16481,0.004819,0.004819,0.004819
159,9006.98,0.52147,0.36724,0.93953,0.95031,0.80441,0.86734,0.61534,0.98701,0.45681,1.19189,0.004786,0.004786,0.004786
160,9055.29,0.51952,0.36425,0.93537,0.94349,0.80838,0.86693,0.61738,0.99505,0.44312,1.19468,0.004753,0.004753,0.004753
161,9103.58,0.51859,0.36453,0.93768,0.95661,0.82015,0.87599,0.62552,0.99092,0.44583,1.21001,0.00472,0.00472,0.00472
162,9151.68,0.52363,0.36734,0.94349,0.9444,0.81296,0.87112,0.62399,0.98513,0.43457,1.21085,0.004687,0.004687,0.004687
163,9199.72,0.51621,0.36623,0.93827,0.94659,0.81037,0.87183,0.62002,1.00863,0.4588,1.21453,0.004654,0.004654,0.004654
164,9248.15,0.51933,0.36501,0.93564,0.96711,0.80347,0.87439,0.62313,0.99577,0.4436,1.18289,0.004621,0.004621,0.004621
165,9296.51,0.52082,0.36595,0.93213,0.95128,0.80501,0.87326,0.62392,0.9957,0.45919,1.18317,0.004588,0.004588,0.004588
166,9344.72,0.51513,0.3619,0.93633,0.96092,0.8055,0.87321,0.63062,0.95498,0.45003,1.17399,0.004555,0.004555,0.004555
167,9392.81,0.51489,0.36309,0.93665,0.9562,0.80825,0.87069,0.61929,0.9991,0.44592,1.21142,0.004522,0.004522,0.004522
168,9441.44,0.50924,0.35863,0.93358,0.95231,0.79709,0.87398,0.62902,0.96716,0.44656,1.18093,0.004489,0.004489,0.004489
169,9489.95,0.51088,0.35759,0.93325,0.96316,0.80278,0.87603,0.63189,0.97456,0.44491,1.1718,0.004456,0.004456,0.004456
170,9538.15,0.5125,0.3598,0.93602,0.95082,0.79516,0.87266,0.63356,0.95111,0.43606,1.15459,0.004423,0.004423,0.004423
171,9587.49,0.50697,0.35513,0.93184,0.95615,0.7955,0.86943,0.63471,0.93974,0.43222,1.141,0.00439,0.00439,0.00439
172,9636.27,0.50448,0.35462,0.93318,0.96286,0.80466,0.87567,0.63785,0.94637,0.43379,1.13885,0.004357,0.004357,0.004357
